regName,regCode,source,is_chemo,is_immuno,is_targeted,is_endocrine,is_supportive,anticancer,hemonc_modalities,class_eau,class_hemonc_mbc,class_any,accepted_uses,status
4d+7,110391,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,,carried
4i+7,110392,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,,carried
5+2d,1002,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Acute myeloid leukemia,carried
5+2i,119537,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Acute myeloid leukemia,carried
5+3d,1932,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Acute myeloid leukemia,carried
5+3i,1939,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Acute myeloid leukemia,carried
7+3d,814,hemonc,1,0,0,0,1,1,Chemotherapy; Supportive therapy,other,other,other,Acute myeloid leukemia; Acute myeloid leukemia pediatric; FLT3 Acute myeloid leukemia,carried
7+3d and GO,1093,hemonc,1,0,1,0,0,1,Antibody-drug conjugate therapy; Chemotherapy,other,other,other,Acute myeloid leukemia,carried
7+3d and Midostaurin,1889,hemonc,1,0,1,0,1,1,Chemotherapy; Supportive therapy; Targeted therapy,other,other,other,Acute myeloid leukemia; FLT3 Acute myeloid leukemia,carried
7+3d and Quizartinib,41857,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Acute myeloid leukemia; FLT3 Acute myeloid leukemia,carried
7+3d and Sorafenib,1892,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Acute myeloid leukemia; FLT3 Acute myeloid leukemia,carried
7+3i,1095,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Acute myeloid leukemia; FLT3 Acute myeloid leukemia,carried
7+3i and Panobinostat,1965,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Acute myeloid leukemia,carried
7+3i and Quizartinib,42055,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Acute myeloid leukemia; FLT3 Acute myeloid leukemia,carried
7+3i and Sorafenib,1153,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Acute myeloid leukemia,carried
7+3i and Vorinostat,1974,hemonc,1,0,1,0,1,1,Chemotherapy; Supportive therapy; Targeted therapy,other,other,other,Acute myeloid leukemia,carried
7+3m,1174,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Acute myeloid leukemia; B-cell acute lymphoblastic leukemia,carried
7+5i,1982,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Acute myeloid leukemia,carried
A-AVD,22609,hemonc,1,0,1,0,0,1,Antibody-drug conjugate therapy; Chemotherapy,other,other,other,Classical Hodgkin lymphoma,carried
A-CMF,15543,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Breast cancer,carried
AALL0232 consolidation,4826,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,B-cell acute lymphoblastic leukemia; B-cell acute lymphoblastic leukemia pediatric,carried
AALL0932 delayed intensification,31766,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy,other,other,other,B-cell acute lymphoblastic leukemia pediatric,carried
Abarelix monotherapy,5611,hemonc,0,0,0,1,0,0,Endocrine therapy,other,other,other,Prostate cancer,carried
ABC,25325,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,carboplatin,Melanoma,carried
ABCM,27774,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Multiple myeloma,carried
ABCP,29978,hemonc,1,1,1,0,0,1,Chemotherapy; Immunotherapy; Targeted therapy,other,other,carboplatin,Cervical cancer; EGFR Non-small cell lung cancer; Non-small cell lung cancer; Non-small cell lung cancer nonsquamous,carried
ABDIC,23590,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy,other,other,other,Classical Hodgkin lymphoma,carried
Abemaciclib and Anastrozole,8865,hemonc,0,0,1,1,0,1,Endocrine therapy; Targeted therapy,other,other,other,Breast cancer; ER Breast cancer,carried
Abemaciclib and Fulvestrant,9212,hemonc,0,0,1,1,0,1,Endocrine therapy; Targeted therapy,other,other,other,Breast cancer; ER Breast cancer,carried
Abemaciclib and Letrozole,8872,hemonc,0,0,1,1,0,1,Endocrine therapy; Targeted therapy,other,other,other,Breast cancer; ER Breast cancer,carried
Abemaciclib monotherapy,7939,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Breast cancer; ER Breast cancer,carried
ABP,16661,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy,other,other,other,Diffuse large B-cell lymphoma,carried
ABV (Vinblastine),37989,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Kaposi sarcoma,carried
ABV (Vincristine),37996,hemonc,1,0,0,0,1,1,Chemotherapy; Supportive therapy,other,other,other,Kaposi sarcoma,carried
ABVD,22450,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Classical Hodgkin lymphoma; Hodgkin lymphoma nodular lymphocyte-predominant,carried
"ABVD, DD-DI",22776,hemonc,1,0,0,0,1,1,Chemotherapy; Supportive therapy,other,other,other,Classical Hodgkin lymphoma,carried
ABVDm,23404,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy,other,other,other,Classical Hodgkin lymphoma,carried
ABVE,9725,hemonc,1,0,0,0,1,1,Chemotherapy; Supportive therapy,other,other,other,Classical Hodgkin lymphoma pediatric,carried
AC-CMF,18601,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Breast cancer,carried
AC-D,1091,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Breast cancer; ERBB2 Breast cancer,carried
AC-H,45138,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Breast cancer; ERBB2 Breast cancer,carried
AC-T,47375,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Breast cancer; ERBB2 Breast cancer; TNBC Breast cancer,carried
AC-TH (Docetaxel),37198,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Breast cancer; ERBB2 Breast cancer,carried
AC-TH (Paclitaxel),37298,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Breast cancer; ERBB2 Breast cancer,carried
AC-THL (Paclitaxel),45233,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Breast cancer; ERBB2 Breast cancer,carried
AC-TL (Paclitaxel),75745,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Breast cancer; ERBB2 Breast cancer,carried
Acalabrutinib and Obinutuzumab,1354,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Chronic lymphocytic leukemia,carried
Acalabrutinib and Venetoclax,11348,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,,carried
Acalabrutinib monotherapy,12460,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Chronic lymphocytic leukemia; Mantle cell lymphoma,carried
Accelerated BEP,37316,hemonc,1,0,0,0,1,1,Chemotherapy; Supportive therapy,other,other,cisplatin,Testicular cancer,carried
ACEP,139560,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy; Supportive therapy,other,other,other,Diffuse large B-cell lymphoma,carried
ACH,9569,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Breast cancer; ERBB2 Breast cancer,carried
ACOMLA,16674,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Diffuse large B-cell lymphoma,carried
ACT,9935,hemonc,1,0,0,1,0,1,Chemotherapy; Endocrine therapy,other,other,other,Breast cancer; ER Breast cancer,carried
ACVBP (Methylprednisolone),29033,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy,other,other,other,Diffuse large B-cell lymphoma,carried
"ACVBP, dose-adjusted",33597,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy,other,other,other,Post-transplant lymphoproliferative disorder,carried
Adagrasib and Cetuximab,116565,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Colorectal cancer; KRAS Colorectal cancer,carried
Adagrasib monotherapy,110420,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Colorectal cancer; KRAS Colorectal cancer; KRAS Non-small cell lung cancer; Non-small cell lung cancer,carried
ADE (high-dose Ara-C),1245,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Acute myeloid leukemia; Acute myeloid leukemia pediatric,carried
ADE (standard-dose Ara-C),1175,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Acute myeloid leukemia; Acute myeloid leukemia pediatric,carried
ADE and GO,3117,hemonc,1,0,1,0,0,1,Antibody-drug conjugate therapy; Chemotherapy,other,other,other,Acute myeloid leukemia pediatric,carried
ADOC,37683,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,cisplatin,Thymoma,carried
ADT and Rezvilutamide,11516,none,,,,0,,0,,other,other,other,,carried
Afatinib and Bevacizumab,24534,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,EGFR Non-small cell lung cancer; Non-small cell lung cancer,carried
Afatinib and Cetuximab,24580,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,EGFR Non-small cell lung cancer; Non-small cell lung cancer,carried
Afatinib and Paclitaxel,30435,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Non-small cell lung cancer,carried
Afatinib monotherapy,10705,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,EGFR Non-small cell lung cancer; Head and neck cancer; Non-small cell lung cancer; Non-small cell lung cancer squamous,carried
AIE,1294,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Acute myeloid leukemia; Acute myeloid leukemia pediatric,carried
Alectinib monotherapy,10668,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,ALK Non-small cell lung cancer; Non-small cell lung cancer,carried
Alemtuzumab and Methylprednisolone,12090,hemonc,0,0,1,0,1,1,Glucocorticoid therapy; Targeted therapy,other,other,other,Chronic lymphocytic leukemia,carried
Alemtuzumab monotherapy,2712,hemonc,0,0,1,0,1,1,Immunosuppressive therapy; Supportive therapy; Targeted therapy,other,other,other,Adult T-cell leukemia-lymphoma; Autoimmune cytopenia; Chronic lymphocytic leukemia; Cutaneous T-cell lymphoma; Hypereosinophilic syndrome; Myelodysplastic syndrome; T-cell prolymphocytic leukemia; Waldenstroem macroglobulinemia,carried
Alitretinoin monotherapy,21632,atc,,,,0,,1,,other,other,other,Kaposi sarcoma,carried
Alpelisib and Fulvestrant,10413,hemonc,0,0,1,1,0,1,Endocrine therapy; Targeted therapy,other,other,other,Breast cancer; PIK3CA Breast cancer,carried
Altretamine and Cisplatin (HD),32484,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,cisplatin,Ovarian cancer,carried
Altretamine monotherapy,31796,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Ovarian cancer,carried
Aminoglutethimide monotherapy,10233,hemonc,0,0,0,1,1,0,Endocrine therapy; Supportive therapy,other,other,other,Breast cancer; ER Breast cancer,carried
Amivantamab monotherapy,29758,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,EGFR Non-small cell lung cancer; Non-small cell lung cancer,carried
Amoxicillin and Omemprazole,11874,hemonc,0,0,0,0,1,0,Antibiotic therapy,other,other,other,MALT lymphoma,carried
"Amoxicillin, Clarithromycin, PPI, Bismuth",12012,hemonc,0,0,0,0,1,0,Antibiotic therapy,other,other,other,MALT lymphoma,carried
Amrubicin monotherapy,30443,hemonc,1,0,0,0,1,1,Chemotherapy; Supportive therapy,other,other,other,Non-small cell lung cancer; Small cell lung cancer,carried
Amsacrine and HiDAC,32042,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Acute myeloid leukemia,carried
Anagrelide monotherapy,18540,hemonc,0,0,0,0,1,0,Anticoagulation; Supportive therapy,other,other,other,Essential thrombocythemia; Polycythemia vera,carried
Anakinra monotherapy,49792,hemonc,0,0,0,0,1,0,Immunosuppressive therapy,other,other,other,Castleman disease,carried
Anastrozole and Fulvestrant,8927,hemonc,0,0,0,1,0,0,Endocrine therapy,other,other,other,Breast cancer; ER Breast cancer,carried
Anastrozole and Goserelin,8298,hemonc,0,0,0,1,0,0,Endocrine therapy,other,other,other,Breast cancer; ER Breast cancer,carried
Anastrozole and Palbociclib,47395,hemonc,0,0,1,1,0,1,Endocrine therapy; Targeted therapy,other,other,other,Breast cancer; ER Breast cancer,carried
Anastrozole and Ribociclib,139653,hemonc,0,0,1,1,0,1,Endocrine therapy; Targeted therapy,other,other,other,Breast cancer; ER Breast cancer,carried
Anastrozole and Trastuzumab,9203,hemonc,0,0,1,1,0,1,Endocrine therapy; Targeted therapy,other,other,other,Breast cancer; ER|ERBB2 Breast cancer,carried
Anastrozole monotherapy,8277,hemonc,0,0,0,1,0,0,Endocrine therapy,other,other,other,Breast cancer; Endometrial cancer; ER Breast cancer; ER|ERBB2 Breast cancer,carried
"Anastrozole, Goserelin, Palbociclib",37083,hemonc,0,0,1,1,0,1,Endocrine therapy; Targeted therapy,other,other,other,Breast cancer; ER Breast cancer,carried
"Anastrozole, Goserelin, Ribociclib",8928,hemonc,0,0,1,1,0,1,Endocrine therapy; Targeted therapy,other,other,other,Breast cancer; ER Breast cancer,carried
"Anastrozole, Lapatinib, Trastuzumab",1159,hemonc,0,0,1,1,0,1,Endocrine therapy; Targeted therapy,other,other,other,Breast cancer; ER|ERBB2 Breast cancer,carried
Anlotinib and Gefitinib,142011,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,,carried
Anlotinib monotherapy,37124,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Non-small cell lung cancer,carried
Apalutamide monotherapy,34521,hemonc,0,0,0,1,0,0,Endocrine therapy,other,other,other,Prostate cancer,carried
Apatinib and Camrelizumab,121213,hemonc,0,1,1,0,0,1,Immunotherapy; Targeted therapy,other,other,other,Hepatocellular carcinoma,carried
Apatinib and Gefitinib,22695,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,EGFR Non-small cell lung cancer; Non-small cell lung cancer,carried
Apatinib monotherapy,18202,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Esophageal adenocarcinoma; Gastric cancer; Hepatocellular carcinoma; Thyroid cancer differentiated,carried
Apixaban monotherapy,38069,hemonc,0,0,0,0,1,0,Anticoagulation,other,other,other,Venous thromboembolism,carried
APO,3444,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy,other,other,other,Anaplastic large cell lymphoma pediatric,carried
Arsenic trioxide and ATRA,2295,hemonc,0,0,1,0,1,1,Supportive therapy; Targeted therapy,other,other,other,Acute promyelocytic leukemia,carried
Arsenic trioxide and Chlorambucil,24774,hemonc,1,0,1,0,1,1,Chemotherapy; Supportive therapy; Targeted therapy,other,other,other,Mantle cell lymphoma,carried
Arsenic trioxide monotherapy,2277,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Acute promyelocytic leukemia,carried
Arsenic trioxide-ATRA and Daunorubicin,2391,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Acute promyelocytic leukemia,carried
"Arsenic trioxide, ATRA, Gemtuzumab ozogamicin",2348,hemonc,0,0,1,0,1,1,Antibody-drug conjugate therapy; Supportive therapy; Targeted therapy,other,other,other,Acute promyelocytic leukemia,carried
"Arsenic trioxide, ATRA, Idarubicin",2351,hemonc,1,0,1,0,1,1,Chemotherapy; Supportive therapy; Targeted therapy,other,other,other,Acute promyelocytic leukemia,carried
Asciminib monotherapy,26244,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Chronic myeloid leukemia,carried
AspaMetDex,18834,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy; Supportive therapy,other,other,other,NK- and T-cell lymphoma,carried
AspaMetDex (Erwinaze),1011,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy; Supportive therapy,other,other,other,NK- and T-cell lymphoma,carried
Aspirin and Anagrelide,18554,hemonc,0,0,0,0,1,0,Anticoagulation,other,other,other,Essential thrombocythemia,carried
Aspirin and Dexamethasone,34895,hemonc,0,0,0,0,1,0,Endocrine therapy; Supportive therapy,other,other,other,Prostate cancer,carried
Aspirin and Hydroxyurea,18562,hemonc,1,0,0,0,1,1,Chemotherapy; Supportive therapy,other,other,other,Essential thrombocythemia,carried
Aspirin and Warfarin,16143,hemonc,0,0,0,0,1,0,Anticoagulation,other,other,other,Antiphospholipid antibody syndrome,carried
Aspirin monotherapy,33540,hemonc,0,0,0,0,1,0,Anticoagulation,other,other,other,Polycythemia vera; Venous thromboembolism,carried
AT-CMF,121240,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Breast cancer,carried
Atezolizumab and Bevacizumab,29980,hemonc,0,1,1,0,0,1,Immunotherapy; Targeted therapy,other,other,other,Hepatocellular carcinoma; Malignant peritoneal mesothelioma; Renal cell carcinoma,carried
Atezolizumab monotherapy,5450,hemonc,0,1,0,0,0,1,Immunotherapy,pdl1_mono,pdl1_mono,pdl1_mono,Alveolar soft part sarcoma; Colorectal cancer; MSI-H Colorectal cancer; Non-small cell lung cancer; Non-small cell lung cancer nonsquamous; Non-small cell lung cancer squamous; Urothelial carcinoma,carried
ATG (Horse) and Cyclosporine,3587,hemonc,0,0,0,0,1,0,Immunosuppressive therapy; Supportive therapy,other,other,other,Aplastic anemia; Myelodysplastic syndrome,carried
ATG (Horse) monotherapy,28203,hemonc,0,0,0,0,1,0,Immunosuppressive therapy; Supportive therapy,other,other,other,Myelodysplastic syndrome,carried
ATG (Rabbit) monotherapy,28215,hemonc,0,0,0,0,1,0,Immunosuppressive therapy; Supportive therapy,other,other,other,Graft versus host disease; Myelodysplastic syndrome,carried
ATRA and Danazol,23881,hemonc,0,0,1,0,0,1,Endocrine therapy; Targeted therapy,other,other,other,Immune thrombocytopenia,carried
ATRA and Daunorubicin,2392,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Acute promyelocytic leukemia,carried
ATRA monotherapy,2358,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Acute promyelocytic leukemia,carried
"ATRA, Mercaptopurine, Methotrexate",2471,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Acute promyelocytic leukemia,carried
Aumolertinib monotherapy,12646,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,EGFR Non-small cell lung cancer; Non-small cell lung cancer,carried
Avapritinib monotherapy,25348,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Gastrointestinal stromal tumor; Systemic mastocytosis,carried
Avatrombopag monotherapy,23888,hemonc,0,0,0,0,1,0,Growth factor therapy,other,other,other,Immune thrombocytopenia; Thrombocytopenia in liver disease,carried
AVCF,47552,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Breast cancer,carried
AVD,22532,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Classical Hodgkin lymphoma,carried
Avelumab monotherapy,5626,hemonc,0,1,0,0,1,1,Immunotherapy; Supportive therapy,other,pdl1_mono,pdl1_mono,Merkel cell carcinoma; Urothelial carcinoma,carried
AVO,25237,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Chronic lymphocytic leukemia,carried
Axatilimab monotherapy,145044,hemonc,0,0,0,0,1,0,Immunosuppressive therapy,other,other,other,,carried
Axitinib and Avelumab,35414,hemonc,0,1,1,0,0,1,Immunotherapy; Targeted therapy,other,other,other,Clear cell renal cell carcinoma,carried
Axitinib and Pembrolizumab,17145,hemonc,0,1,1,0,0,1,Immunotherapy; Targeted therapy,other,other,other,Clear cell renal cell carcinoma,carried
Axitinib and Toripalimab,139709,hemonc,0,1,1,0,0,1,Immunotherapy; Targeted therapy,other,other,other,Clear cell renal cell carcinoma,carried
Axitinib monotherapy,35421,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Clear cell renal cell carcinoma; Thyroid cancer; Thyroid cancer differentiated; Thyroid cancer medullary,carried
Azacitidine and Gemtuzumab ozogamicin,1377,hemonc,1,0,1,0,1,1,Antibody-drug conjugate therapy; Chemotherapy; Supportive therapy,other,other,other,Acute myeloid leukemia,carried
Azacitidine and Ivosidenib,49832,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Acute myeloid leukemia; IDH Acute myeloid leukemia,carried
Azacitidine and Lenalidomide,13460,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Chronic myelomonocytic leukemia; Myelodysplastic syndrome,carried
Azacitidine and Venetoclax,1365,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Acute myeloid leukemia,carried
Azacitidine and Vorinostat,13461,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Chronic myelomonocytic leukemia; Myelodysplastic syndrome,carried
Azacitidine monotherapy,1358,hemonc,1,0,0,0,1,1,Chemotherapy; Supportive therapy,other,other,other,Acute myeloid leukemia; Chronic myelomonocytic leukemia; FLT3 Acute myeloid leukemia; IDH Acute myeloid leukemia; Juvenile myelomonocytic leukemia; Myelodysplastic syndrome,carried
Azacitidine oral monotherapy,13673,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Acute myeloid leukemia; Myelodysplastic syndrome,carried
"Azacitidine, Vorinostat, Gemtuzumab ozogamicin",2232,hemonc,1,0,1,0,0,1,Antibody-drug conjugate therapy; Chemotherapy; Targeted therapy,other,other,other,Acute myeloid leukemia,carried
B-CAVe,23626,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Classical Hodgkin lymphoma,carried
Baby POG I protocol,112502,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,cisplatin,Medulloblastoma,carried
BBD,26699,hemonc,1,0,1,0,1,1,Chemotherapy; Glucocorticoid therapy; Supportive therapy; Targeted therapy,other,other,other,Multiple myeloma,carried
BCG and Dacarbazine,25919,hemonc,1,1,0,0,0,1,Chemotherapy; Immunotherapy,other,other,other,Melanoma,carried
BCG vaccine and Nogapendekin alfa inbakicept,145067,hemonc,0,1,0,0,0,1,Immunotherapy,other,other,other,,carried
BCG vaccine monotherapy,5106,hemonc,0,1,0,0,0,1,Immunotherapy,other,other_recommended,other,B-cell acute lymphoblastic leukemia; Bladder cancer; Classical Hodgkin lymphoma; Colon cancer; Melanoma; Non-small cell lung cancer,carried
BCHOP,24662,hemonc,1,0,1,0,1,1,Chemotherapy; Glucocorticoid therapy; Supportive therapy; Targeted therapy,other,other,other,Mantle cell lymphoma,carried
BCOP,16720,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy,other,other,other,Diffuse large B-cell lymphoma,carried
BCVPP,23411,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy,other,other,other,Classical Hodgkin lymphoma,carried
BDR,24788,hemonc,0,0,1,0,1,1,Glucocorticoid therapy; Supportive therapy; Targeted therapy,other,other,other,Mantle cell lymphoma; Waldenstroem macroglobulinemia,carried
BEAC,3961,hemonc,1,0,0,0,1,1,Chemotherapy; Supportive therapy,other,other,other,Diffuse large B-cell lymphoma; Mantle cell lymphoma,carried
BEACOPP,22616,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy,other,other,other,Classical Hodgkin lymphoma,carried
BEACOPP-14,22657,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy; Supportive therapy,other,other,other,Classical Hodgkin lymphoma,carried
BEACOPP-14 (Prednisolone),1106,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy; Supportive therapy,other,other,other,Classical Hodgkin lymphoma,carried
BeGEV,23102,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy; Supportive therapy,other,other,other,Classical Hodgkin lymphoma,carried
Belantamab mafodotin monotherapy,4407,hemonc,0,0,1,0,0,1,Antibody-drug conjugate therapy,other,other,other,Multiple myeloma,carried
Belinostat monotherapy,15441,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Cutaneous T-cell lymphoma; Peripheral T-cell lymphoma,carried
Belotecan and Cisplatin,36088,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,cisplatin,Small cell lung cancer,carried
Belumosudil monotherapy,119945,hemonc,0,0,0,0,1,0,Immunosuppressive therapy,other,other,other,Graft versus host disease,carried
Belzutifan monotherapy,29719,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Clear cell renal cell carcinoma; Renal cell carcinoma; VHL Renal cell carcinoma,carried
Bendamustine and Brentuximab vedotin,46322,hemonc,1,0,1,0,0,1,Antibody-drug conjugate therapy; Chemotherapy,other,other,other,Classical Hodgkin lymphoma,carried
Bendamustine and Dexamethasone,12873,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy,other,other,other,Light-chain (AL) amyloidosis,carried
Bendamustine and Obinutuzumab,12097,hemonc,1,0,1,0,1,1,Chemotherapy; Supportive therapy; Targeted therapy,other,other,other,Chronic lymphocytic leukemia; Follicular lymphoma,carried
Bendamustine and Ofatumumab,12492,hemonc,1,0,1,0,1,1,Chemotherapy; Supportive therapy; Targeted therapy,other,other,other,Chronic lymphocytic leukemia; Follicular lymphoma,carried
Bendamustine and Rituximab (BR),11825,hemonc,1,0,1,0,1,1,Chemotherapy; Supportive therapy; Targeted therapy,other,other,other,Chronic lymphocytic leukemia; Cold agglutinin disease; Diffuse large B-cell lymphoma; Follicular lymphoma; Hairy cell leukemia; MALT lymphoma; Mantle cell lymphoma; Marginal zone lymphoma; Waldenstroem macroglobulinemia,carried
Bendamustine and Rituximab (BR) and Acalabrutinib,141702,atc,,,,0,,1,,other,other,other,,carried
Bendamustine and Rituximab (BR) and Ibrutinib,12331,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Chronic lymphocytic leukemia,carried
Bendamustine monotherapy,4300,hemonc,1,0,0,0,1,1,Chemotherapy; Supportive therapy,other,other,other,Chronic lymphocytic leukemia; Classical Hodgkin lymphoma; Cutaneous T-cell lymphoma; Diffuse large B-cell lymphoma; Follicular lymphoma; Marginal zone lymphoma; Peripheral T-cell lymphoma; Small cell lung cancer; T-cell prolymphocytic leukemia; Transformed lymphoma,carried
Benralizumab monotherapy,34294,hemonc,0,0,0,0,1,0,Immunosuppressive therapy,other,other,other,Hypereosinophilic syndrome,carried
BEP,2531,hemonc,1,0,0,0,1,1,Chemotherapy; Supportive therapy,other,other,cisplatin,Carcinoma of unknown primary; Testicular cancer,carried
BeRT,24781,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Mantle cell lymphoma,carried
Betrixaban monotherapy,38127,hemonc,0,0,0,0,1,0,Anticoagulation,other,other,other,Venous thromboembolism,carried
Bevacizumab and Interferon alfa-2a,35439,hemonc,0,1,1,0,0,1,Immunotherapy; Targeted therapy,other,other,other,Clear cell renal cell carcinoma; Renal cell carcinoma,carried
Bevacizumab and Rituximab,19463,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Follicular lymphoma,carried
Bevacizumab monotherapy,3350,hemonc,0,0,1,0,1,1,Supportive therapy; Targeted therapy,other,other,other,Anaplastic glioma; Angiosarcoma; Breast cancer; Cervical cancer; Clear cell renal cell carcinoma; Colorectal cancer; Endometrial cancer; Glioblastoma; Hepatocellular carcinoma; HRD Ovarian cancer; Kaposi sarcoma; Melanoma; Non-small cell lung cancer; Non-small cell lung cancer nonsquamous; Ovarian cancer; RAS Colorectal cancer; Renal cell carcinoma; Small cell lung cancer,carried
Bexarotene and Pralatrexate,15477,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Cutaneous T-cell lymphoma,carried
