regName,regCode,source,is_chemo,is_immuno,is_targeted,is_endocrine,is_supportive,anticancer,hemonc_modalities,class_eau,class_hemonc_mbc,class_any,accepted_uses,status
"TH-FEC (Docetaxel, SC Trastuzumab)",38870,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Breast cancer; ERBB2 Breast cancer,carried
TH-FEC (Docetaxel),73034,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Breast cancer; ERBB2 Breast cancer,carried
TH-FEC and H (Paclitaxel),73504,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Breast cancer; ERBB2 Breast cancer,carried
Thalidomide and Dexamethasone (TD),26267,hemonc,0,0,1,0,1,1,Glucocorticoid therapy; Supportive therapy; Targeted therapy,other,other,other,Light-chain (AL) amyloidosis; Multiple myeloma,carried
Thalidomide and Prednisolone (TP),26679,hemonc,0,0,1,0,1,1,Glucocorticoid therapy; Targeted therapy,other,other,other,Multiple myeloma,carried
Thalidomide monotherapy,26270,hemonc,0,0,1,0,1,1,Supportive therapy; Targeted therapy,other,other,other,Multiple myeloma; Polycythemia vera; Smoldering multiple myeloma,carried
Thioguanine monotherapy,38574,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Waldenstroem macroglobulinemia,carried
THL (Paclitaxel),5785,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Breast cancer; ERBB2 Breast cancer,carried
THP (Docetaxel),6027,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Breast cancer; ERBB2 Breast cancer,carried
TIP,33273,hemonc,1,0,0,0,1,1,Chemotherapy; Supportive therapy,other,other,cisplatin,Penile cancer; Testicular cancer,carried
Tislelizumab monotherapy,75394,hemonc,0,1,0,0,0,1,Immunotherapy,other,other_recommended,other,Classical Hodgkin lymphoma; Esophageal squamous cell carcinoma; Hepatocellular carcinoma; Non-small cell lung cancer; Urothelial carcinoma,carried
Tisotumab vedotin monotherapy,71308,hemonc,0,0,1,0,0,1,Antibody-drug conjugate therapy,other,other,other,Cervical cancer,carried
Tivozanib monotherapy,99554,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Clear cell renal cell carcinoma; Renal cell carcinoma,carried
TMF,10226,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Breast cancer,carried
Tocilizumab monotherapy,11225,hemonc,0,0,0,0,1,0,Immunosuppressive therapy,other,other,other,Castleman disease,carried
Topotecan and Bevacizumab,32297,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Ovarian cancer,carried
Topotecan monotherapy,11058,hemonc,1,0,0,0,1,1,Chemotherapy; Supportive therapy,other,other,other,Cervical cancer; CNS lymphoma; Endometrial cancer; HRD Ovarian cancer; Low-grade serous ovarian cancer; Ovarian cancer; Small cell lung cancer,carried
